BASIN_HUC BASIN_ID Runoff(mm_day-1) Precip(mm_day-1) PET(mm_day-1) Temp(oC)
01 01013500 1.660 2.714 1.964 2.676
01 01022500 2.086 3.327 2.140 6.278
01 01030500 1.773 2.981 2.060 4.801
01 01031500 1.983 3.197 2.116 4.169
01 01047000 2.094 3.177 2.128 4.044
01 01052500 2.284 3.261 2.083 2.698
01 01054200 2.671 3.842 2.165 4.952
01 01055000 2.166 3.276 2.135 3.624
01 01057000 1.786 3.304 2.202 6.063
01 01073000 1.667 3.170 2.304 8.421
01 01078000 1.718 3.008 2.207 5.601
01 01118300 2.101 3.560 2.406 10.163
01 01121000 1.835 3.491 2.391 8.885
01 01123000 1.750 3.586 2.403 9.100
01 01134500 2.025 3.030 2.123 3.898
01 01137500 2.340 4.558 2.219 4.300
01 01139000 1.593 3.006 2.154 5.052
01 01139800 1.755 3.057 2.202 4.528
01 01142500 1.722 3.237 2.204 5.314
01 01144000 1.801 3.337 2.229 5.020
01 01162500 1.724 3.212 2.369 6.975
01 01169000 2.172 3.517 2.344 6.301
01 01170100 2.076 3.491 2.322 6.342
01 01181000 2.055 3.453 2.363 6.883
01 01187300 2.044 3.515 2.400 7.796
01 01195100 1.639 3.427 2.442 11.058
01 04296000 1.657 3.179 2.184 4.973
02 01333000 1.969 3.244 2.307 6.829
02 01350000 1.994 3.458 2.351 6.000
02 01350080 1.508 3.097 2.343 6.625
02 01350140 1.468 2.925 2.310 6.619
02 01365000 2.588 3.844 2.355 6.755
02 01411300 1.203 3.066 2.621 12.570
02 01413500 1.876 3.436 2.307 6.074
02 01414500 2.100 3.568 2.323 5.772
02 01415000 1.718 3.161 2.308 6.415
02 01423000 1.732 3.095 2.320 6.889
02 01434025 2.764 4.455 2.338 6.124
02 01435000 2.799 3.921 2.389 6.224
02 01439500 1.960 3.229 2.414 8.285
02 01440000 1.743 3.281 2.443 8.947
02 01440400 2.039 3.303 2.403 8.294
02 01451800 1.689 3.223 2.523 10.146
02 01466500 0.755 3.218 2.653 12.094
02 01484100 1.077 3.154 2.700 13.349
02 01485500 1.097 3.156 2.748 13.797
02 01486000 1.057 3.368 2.806 13.919
02 01487000 1.167 3.146 2.705 13.249
02 01491000 1.158 3.159 2.711 13.467
02 01510000 1.771 3.189 2.263 6.657
02 01516500 0.986 2.701 2.366 7.021
02 01518862 1.145 2.637 2.341 6.693
02 01532000 1.291 2.682 2.403 7.370
02 01539000 1.701 3.068 2.458 8.387
02 01542810 1.601 3.065 2.396 7.450
02 01543000 1.634 3.073 2.393 7.277
02 01543500 1.629 3.103 2.403 7.364
02 01544500 1.605 2.895 2.397 7.267
02 01545600 1.476 2.816 2.407 7.422
02 01547700 1.314 2.844 2.462 8.959
